time,temperature,sunshine_hour
1,10.0,
2,10.6,
3,10.1,
4,9.8,
5,9.5,
6,9.0,
7,8.5,0.0
8,8.7,0.8
9,9.8,1.0
10,10.4,1.0
11,10.7,1.0
12,11.6,1.0
13,12.1,1.0
14,12.1,1.0
15,11.8,1.0
16,11.4,1.0
17,10.0,0.4
18,8.8,
19,7.3,
20,6.4,
21,5.7,
22,5.3,
23,4.3,
24,4.1,
1,10.0,
2,10.6,
3,10.1,
4,9.8,
5,9.5,
6,9.0,
7,8.5,0.0
8,8.7,0.8
9,9.8,1.0
10,10.4,1.0
11,10.7,1.0
12,11.6,1.0
13,12.1,1.0
14,12.1,1.0
15,11.8,1.0
16,11.4,1.0
17,10.0,0.4
18,8.8,
19,7.3,
20,6.4,
21,5.7,
22,5.3,
23,4.3,
24,4.1,
